"","distance","fst","species"
"1",0,0,"dichotomius_satanas"
"2",0.115730394060125,-0.0138976366157225,"dichotomius_satanas"
"3",0.219933352377191,-0.0189428537428798,"dichotomius_satanas"
"4",0.506011960525507,-0.0112626618032016,"dichotomius_satanas"
"5",0.636256628443019,-0.0261899524345513,"dichotomius_satanas"
"6",0.494109751370135,-0.0228266698415084,"dichotomius_satanas"
"7",2.49380516897645,-0.0452784754059838,"dichotomius_satanas"
"8",2.66307175454035,-0.0437220599174643,"dichotomius_satanas"
"9",0.115730394060125,-0.0138976366157225,"dichotomius_satanas"
"10",0,0,"dichotomius_satanas"
"11",0.120138064256397,-0.0197069752129655,"dichotomius_satanas"
"12",0.400935477382847,-0.0141279635377036,"dichotomius_satanas"
"13",0.526460687116888,-0.0264222098920584,"dichotomius_satanas"
"14",0.40426509804868,-0.0235143746544545,"dichotomius_satanas"
"15",2.39393942554494,-0.0488761647246042,"dichotomius_satanas"
"16",2.56026823258989,-0.045199545534648,"dichotomius_satanas"
"17",0.219933352377191,-0.0189428537428798,"dichotomius_satanas"
"18",0.120138064256397,-0.0197069752129655,"dichotomius_satanas"
"19",0,0,"dichotomius_satanas"
"20",0.286082936565506,-0.0169036185536812,"dichotomius_satanas"
"21",0.417548771458241,-0.033517625460819,"dichotomius_satanas"
"22",0.284195319311004,-0.0285047514726876,"dichotomius_satanas"
"23",2.2762622504247,-0.0553075025337931,"dichotomius_satanas"
"24",2.4441103632626,-0.0430008436868528,"dichotomius_satanas"
"25",0.506011960525507,-0.0112626618032016,"dichotomius_satanas"
"26",0.400935477382847,-0.0141279635377036,"dichotomius_satanas"
"27",0.286082936565506,-0.0169036185536812,"dichotomius_satanas"
"28",0,0,"dichotomius_satanas"
"29",0.139933208100842,-0.0233485007287604,"dichotomius_satanas"
"30",0.111742461270946,-0.0216043561126435,"dichotomius_satanas"
"31",1.99366547444678,-0.0450406882146971,"dichotomius_satanas"
"32",2.15933371374295,-0.0400562390986717,"dichotomius_satanas"
"33",0.636256628443019,-0.0261899524345513,"dichotomius_satanas"
"34",0.526460687116888,-0.0264222098920584,"dichotomius_satanas"
"35",0.417548771458241,-0.033517625460819,"dichotomius_satanas"
"36",0.139933208100842,-0.0233485007287604,"dichotomius_satanas"
"37",0,0,"dichotomius_satanas"
"38",0.225228458933408,-0.0330032876396286,"dichotomius_satanas"
"39",1.87922452312717,-0.0648039877748465,"dichotomius_satanas"
"40",2.03962622335681,-0.0561799878321608,"dichotomius_satanas"
"41",0.494109751370135,-0.0228266698415084,"dichotomius_satanas"
"42",0.40426509804868,-0.0235143746544545,"dichotomius_satanas"
"43",0.284195319311004,-0.0285047514726876,"dichotomius_satanas"
"44",0.111742461270946,-0.0216043561126435,"dichotomius_satanas"
"45",0.225228458933408,-0.0330032876396286,"dichotomius_satanas"
"46",0,0,"dichotomius_satanas"
"47",2.00199472916157,-0.0546414386856452,"dichotomius_satanas"
"48",2.17466309476267,-0.052405010236487,"dichotomius_satanas"
"49",2.49380516897645,-0.0452784754059838,"dichotomius_satanas"
"50",2.39393942554494,-0.0488761647246042,"dichotomius_satanas"
"51",2.2762622504247,-0.0553075025337931,"dichotomius_satanas"
"52",1.99366547444678,-0.0450406882146971,"dichotomius_satanas"
"53",1.87922452312717,-0.0648039877748465,"dichotomius_satanas"
"54",2.00199472916157,-0.0546414386856452,"dichotomius_satanas"
"55",0,0,"dichotomius_satanas"
"56",0.2140581321643,-0.0823850493980764,"dichotomius_satanas"
"57",2.66307175454035,-0.0437220599174643,"dichotomius_satanas"
"58",2.56026823258989,-0.045199545534648,"dichotomius_satanas"
"59",2.4441103632626,-0.0430008436868528,"dichotomius_satanas"
"60",2.15933371374295,-0.0400562390986717,"dichotomius_satanas"
"61",2.03962622335681,-0.0561799878321608,"dichotomius_satanas"
"62",2.17466309476267,-0.052405010236487,"dichotomius_satanas"
"63",0.2140581321643,-0.0823850493980764,"dichotomius_satanas"
"64",0,0,"dichotomius_satanas"
"65",0,0,"deltochilum_speciocissimum"
"66",0.69845107602408,0.00226122752131481,"deltochilum_speciocissimum"
"67",2.33093330850274,0.000713762391970541,"deltochilum_speciocissimum"
"68",3.06070383002353,0.00306334139890652,"deltochilum_speciocissimum"
"69",2.35029084644209,0.00274221487416919,"deltochilum_speciocissimum"
"70",0.69845107602408,0.00226122752131481,"deltochilum_speciocissimum"
"71",0,0,"deltochilum_speciocissimum"
"72",1.66321087419774,0.0053784811743806,"deltochilum_speciocissimum"
"73",2.42751862636252,0.00899117791586057,"deltochilum_speciocissimum"
"74",1.65223676444586,0.00511826225963365,"deltochilum_speciocissimum"
"75",2.33093330850274,0.000713762391970541,"deltochilum_speciocissimum"
"76",1.66321087419774,0.0053784811743806,"deltochilum_speciocissimum"
"77",0,0,"deltochilum_speciocissimum"
"78",0.813534830733971,0.00532758123574882,"deltochilum_speciocissimum"
"79",0.649641250633984,0.00371566307458667,"deltochilum_speciocissimum"
"80",3.06070383002353,0.00306334139890652,"deltochilum_speciocissimum"
"81",2.42751862636252,0.00899117791586057,"deltochilum_speciocissimum"
"82",0.813534830733971,0.00532758123574882,"deltochilum_speciocissimum"
"83",0,0,"deltochilum_speciocissimum"
"84",1.30941896281559,0.00747161892459937,"deltochilum_speciocissimum"
"85",2.35029084644209,0.00274221487416919,"deltochilum_speciocissimum"
"86",1.65223676444586,0.00511826225963365,"deltochilum_speciocissimum"
"87",0.649641250633984,0.00371566307458667,"deltochilum_speciocissimum"
"88",1.30941896281559,0.00747161892459937,"deltochilum_speciocissimum"
"89",0,0,"deltochilum_speciocissimum"
"90",0,0,"deltochilum_tesselatum"
"91",0.648052046940859,-0.0525078926470873,"deltochilum_tesselatum"
"92",1.23155425466327,-0.0486629895971514,"deltochilum_tesselatum"
"93",2.83350013156222,-0.046150432100789,"deltochilum_tesselatum"
"94",2.7668516848089,0.0590571636397225,"deltochilum_tesselatum"
"95",0.648052046940859,-0.0525078926470873,"deltochilum_tesselatum"
"96",0,0,"deltochilum_tesselatum"
"97",0.672733546698393,-0.0309919233933738,"deltochilum_tesselatum"
"98",2.24510647284392,-0.0270066303183416,"deltochilum_tesselatum"
"99",2.26375125069639,0.0735564881437841,"deltochilum_tesselatum"
"100",1.23155425466327,-0.0486629895971514,"deltochilum_tesselatum"
"101",0.672733546698393,-0.0309919233933738,"deltochilum_tesselatum"
"102",0,0,"deltochilum_tesselatum"
"103",1.60197011460801,-0.0252677771958575,"deltochilum_tesselatum"
"104",1.59140008038704,0.102764307295898,"deltochilum_tesselatum"
"105",2.83350013156222,-0.046150432100789,"deltochilum_tesselatum"
"106",2.24510647284392,-0.0270066303183416,"deltochilum_tesselatum"
"107",1.60197011460801,-0.0252677771958575,"deltochilum_tesselatum"
"108",0,0,"deltochilum_tesselatum"
"109",0.625720938262986,0.112647909812516,"deltochilum_tesselatum"
"110",2.7668516848089,0.0590571636397225,"deltochilum_tesselatum"
"111",2.26375125069639,0.0735564881437841,"deltochilum_tesselatum"
"112",1.59140008038704,0.102764307295898,"deltochilum_tesselatum"
"113",0.625720938262986,0.112647909812516,"deltochilum_tesselatum"
"114",0,0,"deltochilum_tesselatum"
"115",0,0,"dichotomius_podalirius"
"116",1.36131064909512,-0.0322305774239399,"dichotomius_podalirius"
"117",2.55324964483808,-0.0282600402729168,"dichotomius_podalirius"
"118",1.36131064909512,-0.0322305774239399,"dichotomius_podalirius"
"119",0,0,"dichotomius_podalirius"
"120",1.20607955354451,-0.0354870443452459,"dichotomius_podalirius"
"121",2.55324964483808,-0.0282600402729168,"dichotomius_podalirius"
"122",1.20607955354451,-0.0354870443452459,"dichotomius_podalirius"
"123",0,0,"dichotomius_podalirius"
"124",0,0,"eurysternus_affin"
"125",0.823330633911877,0.0288527874646783,"eurysternus_affin"
"126",1.54422405350105,0.0337707643053345,"eurysternus_affin"
"127",2.88909022187632,0.0134538750674594,"eurysternus_affin"
"128",0.823330633911877,0.0288527874646783,"eurysternus_affin"
"129",0,0,"eurysternus_affin"
"130",0.72944573233745,0.0534310049797158,"eurysternus_affin"
"131",2.23907551073487,0.026369105093054,"eurysternus_affin"
"132",1.54422405350105,0.0337707643053345,"eurysternus_affin"
"133",0.72944573233745,0.0534310049797158,"eurysternus_affin"
"134",0,0,"eurysternus_affin"
"135",1.6647719775043,0.0236133764906512,"eurysternus_affin"
"136",2.88909022187632,0.0134538750674594,"eurysternus_affin"
"137",2.23907551073487,0.026369105093054,"eurysternus_affin"
"138",1.6647719775043,0.0236133764906512,"eurysternus_affin"
"139",0,0,"eurysternus_affin"
